batch_num,cluster,cluster_name,products,product_count
11,1,cluster_1,"['Спр.БЛ.82%.180г.фол.10шт', 'Мас.КУ.82,5%.5кг.полиэт.ОТ', 'Мас.КУ.72,5%.5кг.полиэт.ОТ', 'Пр.из творога КД с курагой 18%.180г.ф/пак.8шт', 'Пр.из творога КД с изюмом 18%.180г.фпак.8шт', 'Пр.скв.смет.ДМ.15%.350г.стак.12шт(Азербайджан)', 'Смет.ЛМ.15%.800г.вед.6шт', 'Смет.ЛМ.20%.800г.вед.6шт(Светофор)', 'Десерт БЛ.Йогуртель.7,2%.с малиной.смешан.350г.ст.12шт(Азербайджан)', 'Десерт БЛ.Йогуртель.7,2%.с вишней и черешней.смешан.350г.ст.12шт(Азербайджан)', 'Десерт с творогом БЛ.9%.с черникой.350г.ст.12шт(Азербайджан)', 'Десерт БЛ.Йогуртель.7,2%.с земляникой.смешан.350г.ст.12шт(Азербайджан)', 'Пр.скв.смет.ДМ.15%.200г.стак.8шт', 'Пр.скв.смет.ДМ.20%.350г.стак.12шт', 'Пр.скв.смет.ДМ.20%.200г.стак.8шт', 'Мол.пр.творог.БЛ.1%. с кусочками горького шоколада.3кг.вед №15', 'Пр.скв.твор.Фермерский.Мол.рай.28%.5кг.кор', 'Пр.скв.твор.Фермерский.Мол.рай.28%.5кг.кор(Ж)']",18
12,1,cluster_1,"['ПРС.КУ.72,5%.450г.перг.8шт#2', 'Йогурт.7Утра.2,5%.с киви.двухсл.130г.ст.8шт', 'Пр.йогурт.ЛМ.0,1%.с соком вишни и черешни.400г.пак.10шт', 'Йогурт.7Утра.2,5%.с черникой.двухсл.130г.ст.8шт', 'Мол.тв.пр.БЛ.Домашний.1%.5кг.кор №28', 'Пр.скв.твор.Фермерский.ДМ.28%.5кг.кор', 'Пр.скв.смет.БЛ.Классическая.20%.5кг.вед.с змж', 'Твор.9%.кор.5кг(д)', 'Твор.5%.вед.3кг(д)', 'Пр.скв.твор.с изюмом.БЛ.18%.450г.конт.10шт', 'Мас.82,5%.5кг.полиэт.#', 'Смет.20%.5кг.вед', 'Смет.КУ.20%.400г.ст.8шт', 'Мас.КУ.82,5%.180г.фол.8шт#', 'Мол.смет.пр.ДМ.10%.5кг.вед.№20', 'Мол.твор.массы.БЛ с курагой.1%.3кг.вед №23', 'Йогурт.7Утра.2,5%.с вишн.двухсл.130г.ст.8шт', 'Пр.из творога БЛ 24%.400г.пакет.10шт']",18
13,1,cluster_1,"['Спр.БЛ.62%.шок.180г.фол.10шт', 'Пр.из творога БЛ с изюмом 23%.450г.конт.10шт', 'Пр.пл.с сыром паст.сол.БЛ.55%.Янтар.100.ван.30шт', 'Пр.пл.с сыром паст.сол.БЛ.55%.ветч.100.ван.30шт', 'Сыр.Ашан.КП.30%.колб.300г.пл.12шт', 'Пр.пл.с сыром паст.сол.ЯК.55%.180г.ван.20шт', 'Спр.ДМ.62%.500г.фол.8шт', 'Твор.9%.кор.5кг(ф)', 'Пр.йогурт.ЛМ.0,3%.с соком вишни.350г.ст.12шт', 'Мол.твор.массы.БЛ с курагой.1%.5кг.кор №23', 'Мол.твор.массы.БЛ с изюмом.1%.5кг.кор №23', 'Пр.йогурт.7Утра.2,5%.с соком груши и банана.350г.ст.12шт', 'Пр.йогурт.7Утра.2,5%.с соком дыни и клубники.350г.ст.12шт', 'Пр.йогурт.7Утра.2,5%.с соком персика и маракуйи.350г.ст.12шт', 'Мол.тв.пр.БЛ.Фермерский.1%.5кг.кор(Ж) №28', 'Мас.7Утра.53%.шок.100г.фол.16шт', 'Сыр ломт.сол.7Утра.40%.Салатный.80г.фол.20шт', 'Пр.йогурт.ЛМ.2,6%.с клубникой.350г.ст.12шт']",18
14,1,cluster_1,"['Пр.йогурт.7Утра.2,6%.с соком дыни и клубники.350г.ст.12шт', 'Крем творожн.7Утра.5%.с вишней.350г.ст.12шт', 'Пр.йогурт.ЛМ.2,6%.с вишней черешней.350г.ст.12шт', 'Пр.йогурт.ЛМ.2,6%.с абрикосом.350г.ст.12шт', 'Пр.со смет.ДМ.10%.800г.пак.10шт', 'Пр.йогурт.7Утра.2,6%.с соком груши и банана.350г.ст.12шт', 'Пр.пл.с сыром паст.слад.БЛ.50%.Омич.100г.ван.30шт', 'Пр.плав.сыр.ЯК.40%.колб.500г.пл.16шт', 'Мас.72,5%.5кг.полиэт.', 'Спр.БЛ.62%.шок.5кг.перг', 'Спр.БЛ.62%.шок.500г.фол.8шт', 'Пр.йогурт.7Утра.2,6%.с соком персика и маракуйи.350г.ст.12шт', 'Йогурт.7Утра.1,5%.с черникой.двухсл.350г.ст.12шт', 'Йогурт.7Утра.1,5%.с киви.двухсл.350г.ст.12шт', 'Пр.из творога Моя цена с изюмом 18%.450г.конт.4шт', 'Пр.скв.смет.ДМ.20%.350г.стак.12шт(Казахстан, Кыргызстан, Армения)', 'Пр.пл.с сыром ломт.сол.БЛ.50%.Друж.280г.флоупак.10шт(Казахстан, Кыргызстан, Армения)', 'Пр.пл.с сыром ломт.сол.БЛ.25%.Орб.280г.флоупак.10шт(Казахстан, Кыргызстан, Армения)']",18
15,1,cluster_1,"['Пр.пл.с сыром паст.сол.ЯК.55%.180г.ван.20шт(Казахстан, Кыргызстан)', 'Десерт БЛ.7,2%.с клубн.350г.ст.12шт(Казахстан, Кыргызстан, Армения)', 'Биойогурт.Греческий 7Утра.2%.250г.ст.12шт(Казахстан, Кыргызстан)', 'Спр.ДК.48%.500г.фол.8шт(Кыргызстан)', 'Пр.плав.сыр.ЯК.40%.колб.0,5кг/8кг.пл (нарезка)(Кыргызстан)', 'Твор.7Утра.5%.220г.ф/пак.10шт(Кыргызстан)', 'Пр.из творога ДМ 24%.1000г.пакет.4шт(Казахстан, Армения)', 'Пр.твор.7Утра.3%.с вареньем вишневым.350г.ст.12шт', 'Пр.твор.7Утра.3%.с вареньем из манго и маракуйи.350г.ст.12шт', 'Пр.со смет.ДМ.20%.500г.пак.10шт', 'Пр.скв.твор.БЛ.24%.180г.ф/пак.8шт(Кыргызстан, Армения)', 'Пр.из творога БЛ с курагой 23%.450г.конт.10шт(Армения)', 'Пр.йогурт.ЛМ.0,3%.с соком вишни.350г.ст.12шт(Армения)', 'Пр.со смет.БЛ.20%.400г.ст.12шт.с змж(Армения)', 'Десерт БЛ.7,2%.с вишн.350г.ст.12шт(Армения, Казахстан)', 'Пр.пл.сыр.БЛ.45%.ШАР.Российск.400г.8шт(Армения, Кыргызстан)', 'Мас.7Утра.61,5%.170г.фол.8шт', 'Творог обезжир. Моя цена.0%.180г.ф/пак.10шт']",18
16,1,cluster_1,"['Пл.пр.ломт.БЛ.50%.Слив.70г.фол.40шт', 'Пр.пл.с сыром ломт.сол.БЛ.50%.Друж.70г.фол.20шт', 'Пр.пл.с сыром ломт.сол.БЛ.25%.Орб.70г.фол.20шт', 'Мол.твор.массы.БЛ со вкусом ванили.1%.5кг.кор №23', 'Спр.48%.10кг.полиэт.', 'Пр.плав.сыр.ДМ.45%.колб.0,5кг/8кг.пл (нарезка)', 'Спр.КУ.48%.5кг.перг', 'Пр.скв.смет.ДМ.20%.650г.вед.6шт(Казахстан)', 'Пр.скв.смет.ДМ.20%.2,5кг.вед.с змж', 'Пр.скв.твор.Домашний.ДМ.28%.5кг.вед', 'Пр.скв.смет.ДМ.20%.200г.стак.8шт(Казахстан)', 'Мас.МагнитВ1.82,5%.180г.фол.10шт', 'Мас.МагнитВ1.72,5%.180г.фол.10шт', 'Мас.ОКЕЙ.62%.шок.180г.фол.8шт', 'Мас.ОКЕЙ.82,5%.450г.фол.10шт', 'Пр.из творога ""365 дней"" 24%.500г.пакет.8шт', 'Спр.Лента.48%.180г.фол.10шт', 'Пр.пл.с сыром ломт.сол.Лента.40%.Салат.70г.фол.40шт']",18
17,1,cluster_1,"['Спр.Лента.48%.400г.фол.10шт', 'Пр.пл.с сыром ломт.сол.Лента.25%.Орб.70г.фол.40шт', 'Спр.КП.82,5%.1000г.фол.6шт(Казахстан)', 'ПРС.ДМ.72,5%.500г.фол.10шт', 'Пр.скв.смет.20%.650г.вед.6шт.СТМ.ИдеалМаркет', 'Твор.7Утра.5%.220г.ф/пак.10шт', 'Мас.КУ.82,5%.20кг.полиэт.(61,5)', 'Мас.КУ.82,5%.20кг.полиэт.', 'Спр.ДК.72%.5кг.полиэт.', 'Десерт с творогом БЛ.9%.с клубн.350г.ст.12шт(Азербайджан)', 'Пр.скв.смет.ДМ.20%.650г.вед.6шт(Азербайджан)', 'Десерт с творогом БЛ.9%.с вишней и черешней.350г.ст.12шт(Азербайджан)', 'Мол.тв.пр.Профи№2.БЛ.1%.5кг.кор №20', 'Масса твор.с изюмом.Ашан.5%.180г.ф/пак.8шт', 'Мас.Тандер.82,5%.180г.фол.12шт', 'Сыр.7Утра.40%.колб.300г.пл.12шт', 'Пр.скв.твор.Фермерский.ДМ.28%.5кг.вед(Ж/ФК)', 'Смет.20%.350г.ст.12шт']",18
18,1,cluster_1,"['Твор.9%.750г.вед.6шт', 'Твор.9%.кор.5кг', 'Спр.ДК.48%.180г.фол.10шт', 'Мол.тв.пр.Профи№3.БЛ.1%.5кг.кор №20', 'Мас.КУ.72,5%.180г.фол.8шт', 'Пр.плав.сыр.БЛ.40%.колб.350г.пл.10шт(Азербайджан)', 'Смесь топ.ДМ.99,8%.вед.800г.6шт', 'Мол.тв.пр.БЛ.Домашний.1%.5кг.вед №28', 'Пр.из творога ""365 дней"" 24%.180г.ф/пак.8шт', 'Масса твор.с шоколадной крошкой.7Утра.5%.180г.ф/пак.8шт', 'Полиэтилен', 'Макулатура', 'Пластиковая тара', 'Твор.7Утра.0,5%.180г.ф/пак.8шт', 'Десерт ЙLine.10%.клубн.350г.ст.12шт(Казахстан, Кыргызстан, Армения)', 'Десерт с творогом БЛ.9%.с черникой.350г.ст.12шт(Армения)', 'Пр.со смет.БЛ.15%.400г.ст.12шт.с змж(Азербайджан)', 'Пр.со смет.БЛ.15%.200г.ст.8шт.с змж(Азербайджан)']",18
19,1,cluster_1,"['Пр.пл.с сыром паст.сол.БЛ.55%.Янтар.100.ван.30шт(Азербайджан)', 'Пр.со смет.БЛ.20%.0,7кг.вед.6шт.с змж(Азербайджан)', 'Десерт ЙLine.10%.клубн.3кг.вед (Азербайджан)', 'Пр.со смет.БЛ.20%.400г.ст.12шт.с змж(Азербайджан)', 'Пр.со смет.БЛ.20%.200г.ст.8шт.с змж(Азербайджан)', 'Твор.7Утра.5%.5кг.кор.ГОСТ', 'Мол.смет.пр.БЛ.Профи.10%.5кг.вед.№20', 'Аренда помещений', 'Спр.ВЭ.82,5%.5кг.перг', 'Спр.ВЭ.82,5%.10кг.перг', 'ПСС.72,5%.20кг.полиэт', 'Мол.смет.пр.БЛ.Особая.10%.5кг.вед.№20', 'Мол.пр.йогурт.БЛ.1%.с чер.смород.3кг.вед №5', 'Мол.пр.йогурт.БЛ.1%.с ежевикой.3кг.вед №5', 'Мол.пр.йогурт.БЛ.1%.с персиком.3кг.вед №5', 'Пл.пр.колб.копч.40%.ЯК.8кг.пл', 'Пр.йогурт.ЛМ.0,1%.с соком груши и банана.400г.пак.6шт', 'Пл.пр.ломт.БЛ.45%.Друж.70г.фол.40шт']",18
20,1,cluster_1,"['Спр.БЛ.82,5%.5кг.перг.(Агровест)', 'Твор.365 дней.5%.180г.ф/пак.8шт', 'Твор.365 дней.менее 1,8%.180г.ф/пак.8шт', 'Пр.твор.7Утра.3%.с кусочками горького шоколада.350г.ст.12шт', 'Пл.пр.колб.копч.35%.ЯК.0,5кг/8кг.пл (нарезка)', 'Пр.йогурт.ЛМ.0,1%.с соком вишни и черешни.400г.пак.6шт', 'Пр.скв.твор.с изюмом.ДМ.18%.450г.конт.10шт', 'Пр.скв.твор.со вкус.ванилина.ДМ.19%.450г.конт.10шт', 'Мол.твор.массы.БЛ со вкус.пломбира.1%.5кг.кор №23', 'Пр.скв.твор.Фермерский.Мол.рай.28%.5кг.вед', 'Пр.скв.твор.Фермерский.Мол.рай.28%.5кг.вед(Ж)', 'Десерт творожн.МагнитВ1.3%.с манго и маракуйей.140г.ст.8шт', 'Пл.пр.колб.копч.40%.ЯК.0,5кг/8кг.пл (нарезка)', 'Мас.7Утра.52%.180г.фол.8шт', 'Десерт творожн.Дубки.3%.с малиной.140г.ст.8шт', 'Десерт творожн.Дубки.3%.с грушей и бананом.140г.ст.8шт', 'Пр.скв.твор.Профи№3.БЛ.20%.5кг.кор', 'Пр.из творога БЛ 24%.500г.стабилобэг.8шт']",18
