Номенклатура;Дата;Количество;Цена;Сумма;НДС;Контрагент;Организация
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-14 10:16:28;376.0;150.41;28276.7;4712.78;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-10 23:59:57;592.0;129.22;38249.12;6374.85;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-10 09:18:02;592.0;148.03;43817.47;7302.91;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-08 23:59:57;152.0;129.22;9820.72;1636.79;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-08 15:40:25;152.0;148.03;11250.43;1875.07;Лента ООО РЦ Тольятти;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-07 23:59:57;1224.0;129.22;79082.64;13180.44;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-07 14:09:27;312.0;148.03;23092.99;3848.83;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-07 11:47:34;352.0;196.9;34653.7;5775.62;Лента ООО РЦ Новосибирск;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-07 03:09:23;368.0;150.41;27675.07;4612.51;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2025-01-07 01:40:04;192.0;148.03;14211.07;2368.51;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-28 23:59:57;400.0;129.22;25844.0;4307.33;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-28 11:57:37;88.0;148.03;6513.41;1085.57;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-28 11:57:32;312.0;148.03;23092.99;3848.83;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-26 23:59:57;232.0;129.22;14989.52;2498.25;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-26 15:32:41;232.0;148.03;17171.71;2861.95;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-24 23:59:57;608.0;129.22;39282.88;6547.15;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-24 20:13:41;232.0;148.03;17171.71;2861.95;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
