Номенклатура;Дата;Количество;Цена;Сумма;НДС;Контрагент;Организация
Спр.БЛ.82%.1000г.фол.6шт;2022-12-12 17:31:42;18000.0;135.0;2430000.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2022-12-01 13:52:25;16560.0;135.0;2235600.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2022-11-09 15:32:30;2400.0;135.0;324000.0;0.0;Абажан Вохид Предприниматель (Туркменистан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2022-10-12 23:30:00;10770.0;137.0;1475490.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2022-09-28 00:00:00;2100.0;140.0;294000.0;0.0;Абажан Вохид Предприниматель (Туркменистан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2022-08-22 22:00:03;18000.0;137.0;2466000.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2022-04-04 23:00:00;3270.0;265.0;866550.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2022-03-04 12:00:00;10320.0;131.0;1351920.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2022-02-22 00:00:00;3000.0;131.0;393000.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-12-24 23:00:00;9756.0;121.0;1180476.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-12-16 20:00:06;2400.0;121.0;290400.0;0.0;Аннаев Ы.Ю. Предприниматель (Туркменистан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-11-25 23:00:06;9000.0;119.0;1071000.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-10-04 00:00:00;7782.0;112.0;871584.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-09-02 20:00:08;9810.0;112.0;1098720.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-07-29 00:00:00;3600.0;118.0;424800.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-04-01 00:00:00;2400.0;100.8;241920.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-03-25 20:00:07;8400.0;100.8;846720.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-03-15 20:00:04;7200.0;100.8;725760.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2021-02-17 23:51:07;7500.0;100.8;756000.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2020-12-24 23:30:06;13002.0;87.5;1137675.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2020-12-24 21:00:05;6000.0;87.5;525000.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2020-11-18 20:00:05;7800.0;82.5;643500.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2020-11-06 21:00:07;2400.0;91.15;218760.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2020-10-14 20:00:03;1500.0;89.15;133725.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2020-08-26 00:00:01;3000.0;78.44;235320.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2020-06-10 06:35:01;3600.0;78.44;282384.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
Спр.БЛ.82%.1000г.фол.6шт;2020-03-11 19:00:00;3600.0;83.0;298800.0;0.0;ARAZ SUPERMARKET ООО (Азербайджан);"ООО ""7 Утра"""
